Ids,Team 1,Team 2,Winner,Margin,Venue,Date,match_no,match_url,Team_1 P1,Team_1 P2,Team_1 P3,Team_1 P4,Team_1 P5,Team_1 P6,Team_1 P7,Team_1 P8,Team_1 P9,Team_1 P10,Team_1 P11,Team_2 P1,Team_2 P2,Team_2 P3,Team_2 P4,Team_2 P5,Team_2 P6,Team_2 P7,Team_2 P8,Team_2 P9,Team_2 P10,Team_2 P11,Captain 1,Captain 2,Toss,Bat_first
303,England,India,England,3 wickets,The Oval,"Sep 9, 2011",ODI # 3189,https://www.espncricinfo.com/England/engine/match/474479.html,PA Patel,AM Rahane,R Dravid,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,P Kumar,MM Patel ,RP Singh,AN Cook (c),C Kieswetter †,IJL Trott,IR Bell,BA Stokes,RS Bopara,TT Bresnan,SCJ Broad,GP Swann,JM Anderson ,JW Dernbach,MS Dhoni  †,AN Cook ,England,India
304,England,India,England,6 wickets,Cardiff,"Sep 16, 2011",ODI # 3195,https://www.espncricinfo.com/England/engine/match/474481.html,PA Patel,AM Rahane,R Dravid,V Kohli,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,RP Singh ,MM Patel ,R Vinay Kumar,AN Cook (c),C Kieswetter †,IJL Trott,IR Bell,RS Bopara,JM Bairstow,SR Patel ,TT Bresnan ,GP Swann ,ST Finn ,JW Dernbach,MS Dhoni  †,AN Cook ,England,India
317,India,England,England,9 runs,Rajkot,"Jan 11, 2013",ODI # 3318,https://www.espncricinfo.com/England/engine/match/565812.html,AN Cook (c),IR Bell,KP Pietersen,EJG Morgan,C Kieswetter †,SR Patel,JE Root ,TT Bresnan ,JC Tredwell ,ST Finn ,JW Dernbach,AM Rahane,G Gambhir,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,AB Dinda,I Sharma,AN Cook ,MS Dhoni  †,England,England
318,India,England,England,7 wickets,Dharamsala,"Jan 27, 2013",ODI # 3329,https://www.espncricinfo.com/England/engine/match/565816.html,G Gambhir,RG Sharma,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,Mohammed Shami,I Sharma,AN Cook (c),IR Bell,KP Pietersen,JE Root,EJG Morgan,JC Buttler † ,SR Patel ,CR Woakes ,JC Tredwell ,ST Finn ,TT Bresnan,MS Dhoni  †,AN Cook ,England,India
333,England,India,England,41 runs,Leeds,"Sep 5, 2014",ODI # 3525,https://www.espncricinfo.com/England/engine/match/667729.html,AN Cook (c),AD Hales,MM Ali,JE Root,EJG Morgan,JC Buttler †,BA Stokes,CR Woakes,JC Tredwell,ST Finn ,JM Anderson,AM Rahane,S Dhawan,V Kohli,AT Rayudu,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,Mohammed Shami,UT Yadav,AN Cook ,MS Dhoni  †,India,England
336,England,India,England,9 wickets,Brisbane,"Jan 20, 2015",ODI # 3586,https://www.espncricinfo.com/England/engine/match/754753.html,AM Rahane,S Dhawan,AT Rayudu,V Kohli,SK Raina,MS Dhoni (c) †,STR Binny,AR Patel,B Kumar,Mohammed Shami,UT Yadav,IR Bell,MM Ali,JWA Taylor,JE Root ,EJG Morgan (c) ,RS Bopara ,JC Buttler † ,CR Woakes ,SCJ Broad ,JM Anderson ,ST Finn,MS Dhoni  †,EJG Morgan  ,India,India
337,England,India,England,3 wickets,Perth,"Jan 30, 2015",ODI # 3595,https://www.espncricinfo.com/England/engine/match/754759.html,AM Rahane,S Dhawan,V Kohli,SK Raina,AT Rayudu,MS Dhoni (c) †,STR Binny,RA Jadeja,AR Patel,MM Sharma,Mohammed Shami,IR Bell,MM Ali,JWA Taylor,JE Root,EJG Morgan (c),RS Bopara,JC Buttler †,CR Woakes,SCJ Broad,JM Anderson ,ST Finn,MS Dhoni  †,EJG Morgan ,England,India
359,India,England,England,5 runs,Kolkata,"Jan 22, 2017",ODI # 3824,https://www.espncricinfo.com/England/engine/match/1034823.html,JJ Roy,SW Billings,JM Bairstow,EJG Morgan (c),JC Buttler †,BA Stokes,MM Ali,CR Woakes,LE Plunkett,DJ Willey ,JT Ball,AM Rahane,KL Rahul,V Kohli (c),Yuvraj Singh,MS Dhoni †,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,B Kumar,JJ Bumrah,EJG Morgan ,V Kohli ,India,England
386,England,India,England,86 runs,Lord's,"Jul 14, 2018",ODI # 4016,https://www.espncricinfo.com/England/engine/match/1119547.html,JJ Roy,JM Bairstow,JE Root,EJG Morgan (c),BA Stokes,JC Buttler †,MM Ali,DJ Willey,AU Rashid ,LE Plunkett ,MA Wood,RG Sharma,S Dhawan,V Kohli (c),KL Rahul,SK Raina,MS Dhoni †,HH Pandya,UT Yadav,Kuldeep Yadav,S Kaul,YS Chahal,EJG Morgan ,V Kohli ,England,England
387,England,India,England,8 wickets,Leeds,"Jul 17, 2018",ODI # 4018,https://www.espncricinfo.com/England/engine/match/1119548.html,RG Sharma,S Dhawan,V Kohli (c),KD Karthik,MS Dhoni †,SK Raina,HH Pandya,B Kumar,SN Thakur,Kuldeep Yadav ,YS Chahal,JM Vince,JM Bairstow,JE Root,EJG Morgan (c),BA Stokes ,JC Buttler † ,MM Ali ,DJ Willey ,LE Plunkett ,AU Rashid ,MA Wood,V Kohli ,EJG Morgan ,England,India
402,England,India,England,31 runs,Birmingham,"Jun 30, 2019",ODI # 4179,https://www.espncricinfo.com/England/engine/match/1144520.html,JJ Roy,JM Bairstow,JE Root,EJG Morgan (c),BA Stokes,JC Buttler †,CR Woakes,LE Plunkett,JC Archer,AU Rashid ,MA Wood,KL Rahul,RG Sharma,V Kohli (c),RR Pant,HH Pandya,MS Dhoni †,KM Jadhav,Kuldeep Yadav ,Mohammed Shami ,YS Chahal ,JJ Bumrah,EJG Morgan ,V Kohli ,England,England
405,India,South Africa,South Africa,90 runs,Ahmedabad,"Feb 27, 2010",ODI # 2963,https://www.espncricinfo.com/South-Africa/engine/match/441829.html,LE Bosman,HM Amla,JH Kallis (c),AB de Villiers,HH Gibbs ,MV Boucher † ,J Botha ,RE van der Merwe ,DW Steyn ,M Morkel ,LL Tsotsobe,KD Karthik,M Vijay,V Kohli,RG Sharma,MS Dhoni (c) †,SK Raina,YK Pathan,RA Jadeja,S Sreesanth,A Mithun,S Tyagi,JH Kallis ,MS Dhoni  †,South Africa,South Africa
417,South Africa,India,South Africa,135 runs,Durban,"Jan 12, 2011",ODI # 3079,https://www.espncricinfo.com/South-Africa/engine/match/463150.html,GC Smith (c),HM Amla,CA Ingram,AB de Villiers †,JP Duminy,DA Miller,J Botha,WD Parnell,DW Steyn,M Morkel,LL Tsotsobe,M Vijay,SR Tendulkar,V Kohli,RG Sharma,Yuvraj Singh,MS Dhoni (c) †,SK Raina,Harbhajan Singh,Z Khan,A Nehra,MM Patel,GC Smith ,MS Dhoni  †,South Africa,South Africa
418,South Africa,India,South Africa,48 runs,Port Elizabeth,"Jan 21, 2011",ODI # 3084,https://www.espncricinfo.com/South-Africa/engine/match/463153.html,HM Amla,GC Smith (c),MN van Wyk,AB de Villiers †,JP Duminy,F du Plessis,J Botha,RJ Peterson,DW Steyn,M Morkel ,LL Tsotsobe,RG Sharma,PA Patel,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,YK Pathan,Harbhajan Singh,MM Patel ,Z Khan ,A Nehra,GC Smith ,MS Dhoni  †,South Africa,South Africa
419,South Africa,India,South Africa,33 runs,Centurion,"Jan 23, 2011",ODI # 3087,https://www.espncricinfo.com/South-Africa/engine/match/463154.html,GC Smith (c),HM Amla,MN van Wyk,AB de Villiers †,JP Duminy,F du Plessis,J Botha,RJ Peterson,DW Steyn,M Morkel,LL Tsotsobe,PA Patel,RG Sharma,V Kohli,MS Dhoni (c) †,Yuvraj Singh,SK Raina,YK Pathan,Harbhajan Singh,PP Chawla,Z Khan,MM Patel,GC Smith ,MS Dhoni  †,India,South Africa
422,India,South Africa,South Africa,3 wickets,Nagpur,"Mar 12, 2011",ODI # 3128,https://www.espncricinfo.com/South-Africa/engine/match/433586.html,V Sehwag,SR Tendulkar,G Gambhir,YK Pathan,Yuvraj Singh,MS Dhoni (c) †,V Kohli,Harbhajan Singh,Z Khan,A Nehra,MM Patel,HM Amla,GC Smith (c),JH Kallis,AB de Villiers,JP Duminy,F du Plessis,MN van Wyk †,J Botha,RJ Peterson,M Morkel ,DW Steyn,MS Dhoni  †,GC Smith ,India,India
446,South Africa,India,South Africa,141 runs,Johannesburg,"Dec 5, 2013",ODI # 3442,https://www.espncricinfo.com/South-Africa/engine/match/648651.html,HM Amla,Q de Kock †,JH Kallis,AB de Villiers (c),JP Duminy,DA Miller,R McLaren ,WD Parnell ,DW Steyn ,M Morkel ,LL Tsotsobe,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,MM Sharma,Mohammed Shami,AB de Villiers ,MS Dhoni  †,India,South Africa
447,South Africa,India,South Africa,134 runs,Durban,"Dec 8, 2013",ODI # 3443,https://www.espncricinfo.com/South-Africa/engine/match/648653.html,Q de Kock †,HM Amla,AB de Villiers (c),JP Duminy,DA Miller,JH Kallis,R McLaren,VD Philander,DW Steyn ,M Morkel ,LL Tsotsobe,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,Mohammed Shami,UT Yadav,I Sharma,AB de Villiers ,MS Dhoni  †,India,South Africa
472,India,South Africa,South Africa,5 runs,Kanpur,"Oct 11, 2015",ODI # 3689,https://www.espncricinfo.com/South-Africa/engine/match/903593.html,Q de Kock †,HM Amla,F du Plessis,AB de Villiers (c),DA Miller,JP Duminy,F Behardien,DW Steyn ,K Rabada ,M Morkel ,Imran Tahir,RG Sharma,S Dhawan,AM Rahane,V Kohli,MS Dhoni (c) †,SK Raina,STR Binny,B Kumar,A Mishra,R Ashwin ,UT Yadav,AB de Villiers ,MS Dhoni  †,South Africa,South Africa
473,India,South Africa,South Africa,18 runs,Rajkot,"Oct 18, 2015",ODI # 3695,https://www.espncricinfo.com/South-Africa/engine/match/903597.html,Q de Kock †,DA Miller,HM Amla,F du Plessis,AB de Villiers (c),JP Duminy,F Behardien,DW Steyn,K Rabada,Imran Tahir ,M Morkel,RG Sharma,S Dhawan,V Kohli,MS Dhoni (c) †,SK Raina,AM Rahane,AR Patel,Harbhajan Singh,B Kumar ,MM Sharma ,A Mishra,AB de Villiers ,MS Dhoni  †,South Africa,South Africa
474,India,South Africa,South Africa,214 runs,Mumbai,"Oct 25, 2015",ODI # 3700,https://www.espncricinfo.com/South-Africa/engine/match/903601.html,Q de Kock †,HM Amla,F du Plessis,AB de Villiers (c),DA Miller,F Behardien,D Elgar,DW Steyn ,K Rabada ,Imran Tahir ,KJ Abbott,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,AR Patel,Harbhajan Singh,B Kumar,A Mishra,MM Sharma,AB de Villiers ,MS Dhoni  †,South Africa,South Africa
499,South Africa,India,South Africa,5 wickets,Johannesburg,"Feb 10, 2018",ODI # 3973,https://www.espncricinfo.com/South-Africa/engine/match/1122282.html,RG Sharma,S Dhawan,V Kohli (c),AM Rahane,SS Iyer,MS Dhoni †,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah ,YS Chahal,AK Markram (c),HM Amla,JP Duminy,AB de Villiers,DA Miller,H Klaasen †,AL Phehlukwayo,CH Morris ,K Rabada ,L Ngidi ,M Morkel,V Kohli ,AK Markram ,India,India
524,India,New Zealand,New Zealand,200 runs,Dambulla,"Aug 10, 2010",ODI # 3030,https://www.espncricinfo.com/New-Zealand/engine/match/456662.html,PJ Ingram,MJ Guptill,LRPL Taylor (c),KS Williamson,SB Styris,JDP Oram,GD Elliott,GJ Hopkins †,DR Tuffey,KD Mills,AJ McKay,KD Karthik,V Sehwag,RG Sharma,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,P Kumar,A Mithun,A Nehra,PP Ojha,LRPL Taylor ,MS Dhoni  †,New Zealand,New Zealand
547,New Zealand,India,New Zealand,24 runs,Napier,"Jan 19, 2014",ODI # 3456,https://www.espncricinfo.com/New-Zealand/engine/match/667641.html,MJ Guptill,JD Ryder,KS Williamson,LRPL Taylor,BB McCullum (c),CJ Anderson,L Ronchi †,NL McCullum,TG Southee,AF Milne ,MJ McClenaghan,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,I Sharma,Mohammed Shami,BB McCullum ,MS Dhoni  †,India,New Zealand
548,New Zealand,India,New Zealand,15 runs,Hamilton,"Jan 22, 2014",ODI # 3458,https://www.espncricinfo.com/New-Zealand/engine/match/667643.html,MJ Guptill,JD Ryder,KS Williamson,LRPL Taylor,CJ Anderson,BB McCullum (c),L Ronchi †,NL McCullum,KD Mills,TG Southee ,MJ McClenaghan,S Dhawan,RG Sharma,V Kohli,AM Rahane,MS Dhoni (c) †,SK Raina,RA Jadeja,R Ashwin,B Kumar,Mohammed Shami,I Sharma,BB McCullum ,MS Dhoni  †,India,New Zealand
549,New Zealand,India,New Zealand,7 wickets,Hamilton,"Jan 28, 2014",ODI # 3465,https://www.espncricinfo.com/New-Zealand/engine/match/667647.html,RG Sharma,V Kohli,AM Rahane,AT Rayudu,MS Dhoni (c) †,R Ashwin,RA Jadeja,STR Binny ,B Kumar ,VR Aaron ,Mohammed Shami,MJ Guptill,JD Ryder,KS Williamson,LRPL Taylor,BB McCullum (c),L Ronchi † ,NL McCullum ,JDS Neesham ,TG Southee ,KD Mills ,HK Bennett,MS Dhoni  †,BB McCullum ,India,India
550,New Zealand,India,New Zealand,87 runs,Wellington,"Jan 31, 2014",ODI # 3467,https://www.espncricinfo.com/New-Zealand/engine/match/667649.html,MJ Guptill,JD Ryder,KS Williamson,LRPL Taylor,BB McCullum (c),JDS Neesham,L Ronchi †,NL McCullum ,MJ Henry ,KD Mills ,MJ McClenaghan,RG Sharma,S Dhawan,V Kohli,AM Rahane,AT Rayudu,MS Dhoni (c) †,R Ashwin,RA Jadeja,B Kumar,Mohammed Shami,VR Aaron,BB McCullum ,MS Dhoni  †,India,New Zealand
580,India,New Zealand,New Zealand,6 runs,Delhi,"Oct 20, 2016",ODI # 3797,https://www.espncricinfo.com/New-Zealand/engine/match/1030221.html,MJ Guptill,TWM Latham,KS Williamson (c),LRPL Taylor,CJ Anderson,L Ronchi †,MJ Santner,AP Devcich,TG Southee,MJ Henry,TA Boult,RG Sharma,AM Rahane,V Kohli,MK Pandey,MS Dhoni (c) †,KM Jadhav,AR Patel,HH Pandya,A Mishra,UT Yadav,JJ Bumrah,KS Williamson ,MS Dhoni  †,India,New Zealand
581,India,New Zealand,New Zealand,19 runs,Ranchi,"Oct 26, 2016",ODI # 3799,https://www.espncricinfo.com/New-Zealand/engine/match/1030225.html,MJ Guptill,TWM Latham,KS Williamson (c),LRPL Taylor,JDS Neesham,BJ Watling †,AP Devcich,MJ Santner,TG Southee,TA Boult ,IS Sodhi,AM Rahane,RG Sharma,V Kohli,MS Dhoni (c) †,AR Patel,MK Pandey,KM Jadhav,HH Pandya,A Mishra,DS Kulkarni,UT Yadav,KS Williamson ,MS Dhoni  †,New Zealand,New Zealand
592,India,New Zealand,New Zealand,6 wickets,Mumbai,"Oct 22, 2017",ODI # 3928,https://www.espncricinfo.com/New-Zealand/engine/match/1120090.html,RG Sharma,S Dhawan,V Kohli (c),KM Jadhav,KD Karthik,MS Dhoni †,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah ,YS Chahal,MJ Guptill,C Munro,KS Williamson (c),LRPL Taylor,TWM Latham †,HM Nicholls,C de Grandhomme ,MJ Santner ,AF Milne ,TG Southee ,TA Boult,V Kohli ,KS Williamson ,India,India
607,New Zealand,India,New Zealand,8 wickets,Hamilton,"Jan 31, 2019",ODI # 4091,https://www.espncricinfo.com/New-Zealand/engine/match/1153694.html,RG Sharma (c),S Dhawan,Shubman Gill,AT Rayudu,KD Karthik †,KM Jadhav,HH Pandya,B Kumar,Kuldeep Yadav,YS Chahal,KK Ahmed,MJ Guptill,HM Nicholls,KS Williamson (c),LRPL Taylor,TWM Latham † ,JDS Neesham ,MJ Santner ,C de Grandhomme ,TD Astle ,MJ Henry ,TA Boult,RG Sharma ,KS Williamson ,New Zealand,India
616,India,New Zealand,New Zealand,18 runs,Manchester,"Jul 9-10, 2019",ODI # 4190,https://www.espncricinfo.com/New-Zealand/engine/match/1144528.html,MJ Guptill,HM Nicholls,KS Williamson (c),LRPL Taylor,JDS Neesham,C de Grandhomme,TWM Latham †,MJ Santner,MJ Henry,TA Boult,LH Ferguson,KL Rahul,RG Sharma,V Kohli (c),RR Pant,KD Karthik,HH Pandya,MS Dhoni †,RA Jadeja,B Kumar,YS Chahal,JJ Bumrah,KS Williamson ,V Kohli ,New Zealand,New Zealand
652,India,Pakistan,Pakistan,6 wickets,Chennai,"Dec 30, 2012",ODI # 3314,https://www.espncricinfo.com/Pakistan/engine/match/589308.html,G Gambhir,V Sehwag,V Kohli,Yuvraj Singh,RG Sharma,SK Raina,MS Dhoni (c) †,R Ashwin,B Kumar ,I Sharma ,AB Dinda,Mohammad Hafeez,Nasir Jamshed,Azhar Ali,Younis Khan,Misbah-ul-Haq (c),Shoaib Malik,Kamran Akmal † ,Junaid Khan ,Umar Gul ,Saeed Ajmal ,Mohammad Irfan,MS Dhoni  †,Misbah-ul-Haq ,Pakistan,India
