Ids,Team 1,Team 2,Winner,Margin,Venue,Date,match_no,match_url,Team_1 P1,Team_1 P2,Team_1 P3,Team_1 P4,Team_1 P5,Team_1 P6,Team_1 P7,Team_1 P8,Team_1 P9,Team_1 P10,Team_1 P11,Team_2 P1,Team_2 P2,Team_2 P3,Team_2 P4,Team_2 P5,Team_2 P6,Team_2 P7,Team_2 P8,Team_2 P9,Team_2 P10,Team_2 P11,Captain 1,Captain 2,Toss,Bat_first
653,India,Pakistan,Pakistan,85 runs,Kolkata,"Jan 3, 2013",ODI # 3315,https://www.espncricinfo.com/Pakistan/engine/match/589309.html,Nasir Jamshed,Mohammad Hafeez,Azhar Ali,Younis Khan,Misbah-ul-Haq (c),Shoaib Malik,Kamran Akmal †,Umar Gul,Saeed Ajmal,Junaid Khan,Mohammad Irfan,G Gambhir,V Sehwag,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,R Ashwin,RA Jadeja,B Kumar,AB Dinda,I Sharma,Misbah-ul-Haq ,MS Dhoni  †,India,Pakistan
670,India,Pakistan,Pakistan,1 wicket,Dhaka,"Mar 2, 2014",ODI # 3479,https://www.espncricinfo.com/Pakistan/engine/match/710301.html,RG Sharma,S Dhawan,V Kohli (c),AM Rahane,AT Rayudu,KD Karthik †,RA Jadeja,R Ashwin,Mohammed Shami,A Mishra,B Kumar,Sharjeel Khan,Ahmed Shehzad,Mohammad Hafeez,Misbah-ul-Haq (c),Umar Akmal †,Sohaib Maqsood,Shahid Afridi,Umar Gul,Mohammad Talha,Saeed Ajmal,Junaid Khan,V Kohli ,Misbah-ul-Haq ,Pakistan,India
698,India,Pakistan,Pakistan,180 runs,The Oval,"Jun 18, 2017",ODI # 3894,https://www.espncricinfo.com/Pakistan/engine/match/1022375.html,Azhar Ali,Fakhar Zaman,Babar Azam,Shoaib Malik,Mohammad Hafeez,Imad Wasim,Sarfaraz Ahmed (c) † ,Mohammad Amir ,Shadab Khan ,Hasan Ali ,Junaid Khan,RG Sharma,S Dhawan,V Kohli (c),Yuvraj Singh,MS Dhoni †,KM Jadhav,HH Pandya,RA Jadeja,R Ashwin,B Kumar,JJ Bumrah,Sarfaraz Ahmed  † ,V Kohli ,India,Pakistan
722,India,Sri Lanka,Sri Lanka,5 wickets,Dhaka,"Jan 5, 2010",ODI # 2938,https://www.espncricinfo.com/Sri-Lanka/engine/match/434259.html,G Gambhir,V Sehwag,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,RA Jadeja,Harbhajan Singh,Z Khan,A Nehra,S Sreesanth,WU Tharanga,HDRL Thirimanne,KC Sangakkara (c) †,TT Samaraweera,SHT Kandamby,S Randiv,NLTC Perera,M Pushpakumara ,RAS Lakmal ,T Thushara ,UWMBCA Welegedara,MS Dhoni  †,KC Sangakkara  †,Sri Lanka,India
724,India,Sri Lanka,Sri Lanka,4 wickets,Dhaka,"Jan 13, 2010",ODI # 2943,https://www.espncricinfo.com/Sri-Lanka/engine/match/434264.html,V Sehwag,G Gambhir,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,RA Jadeja,Harbhajan Singh,Z Khan,A Nehra,S Sreesanth,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,TT Samaraweera,SHT Kandamby,S Randiv,NLTC Perera,KMDN Kulasekara ,T Thushara ,UWMBCA Welegedara,MS Dhoni  †,KC Sangakkara  †,Sri Lanka,India
726,India,Sri Lanka,Sri Lanka,6 wickets,Harare,"Jun 5, 2010",ODI # 2988,https://www.espncricinfo.com/Sri-Lanka/engine/match/452150.html,KD Karthik †,NV Ojha,V Kohli,YK Pathan,RG Sharma,SK Raina (c),RA Jadeja,R Ashwin,Pankaj Singh,AB Dinda,PP Ojha,WU Tharanga,TM Dilshan (c),LD Chandimal †,CK Kapugedera,BMAJ Mendis,TT Samaraweera,BAW Mendis ,KMDN Kulasekara ,S Randiv ,NLTC Perera ,T Thushara,SK Raina ,TM Dilshan ,Sri Lanka,India
730,Sri Lanka,India,Sri Lanka,7 wickets,Dambulla,"Jun 22, 2010",ODI # 2999,https://www.espncricinfo.com/Sri-Lanka/engine/match/455236.html,G Gambhir,KD Karthik,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,RA Jadeja,P Kumar,Z Khan,AB Dinda,PP Ojha,WU Tharanga,TM Dilshan,KC Sangakkara (c) †,DPMD Jayawardene,SHT Kandamby,CK Kapugedera ,AD Mathews ,MF Maharoof ,S Randiv ,HMRKB Herath ,UWMBCA Welegedara,MS Dhoni  †,KC Sangakkara  †,Sri Lanka,India
732,Sri Lanka,India,Sri Lanka,8 wickets,Dambulla,"Aug 22, 2010",ODI # 3038,https://www.espncricinfo.com/Sri-Lanka/engine/match/456666.html,KD Karthik,V Sehwag,RG Sharma,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,P Kumar,A Nehra,I Sharma,PP Ojha,DPMD Jayawardene,TM Dilshan,WU Tharanga,KC Sangakkara (c) †,LPC Silva ,CK Kapugedera ,AD Mathews ,KMDN Kulasekara ,SL Malinga ,S Randiv ,NLTC Perera,MS Dhoni  †,KC Sangakkara  †,India,India
733,Sri Lanka,India,Sri Lanka,74 runs,Dambulla,"Aug 28, 2010",ODI # 3040,https://www.espncricinfo.com/Sri-Lanka/engine/match/456668.html,DPMD Jayawardene,TM Dilshan,WU Tharanga,KC Sangakkara (c) †,CK Kapugedera,AD Mathews,LPC Silva,NLTC Perera,S Randiv,KMDN Kulasekara,SL Malinga,V Sehwag,KD Karthik,V Kohli,Yuvraj Singh,MS Dhoni (c) †,SK Raina,RG Sharma,P Kumar,I Sharma,A Nehra,MM Patel,KC Sangakkara  †,MS Dhoni  †,Sri Lanka,Sri Lanka
753,India,Sri Lanka,Sri Lanka,51 runs,Brisbane,"Feb 21, 2012",ODI # 3246,https://www.espncricinfo.com/Sri-Lanka/engine/match/518963.html,DPMD Jayawardene (c),TM Dilshan,KC Sangakkara †,LD Chandimal,HDRL Thirimanne,AD Mathews,NLTC Perera,MF Maharoof,KMDN Kulasekara ,SL Malinga ,HMRKB Herath,V Sehwag (c),SR Tendulkar,G Gambhir,V Kohli,SK Raina,RA Jadeja,IK Pathan,PA Patel †,R Ashwin,R Vinay Kumar,UT Yadav,DPMD Jayawardene ,V Sehwag ,Sri Lanka,Sri Lanka
760,Sri Lanka,India,Sri Lanka,9 wickets,Hambantota,"Jul 24, 2012",ODI # 3292,https://www.espncricinfo.com/Sri-Lanka/engine/match/564782.html,G Gambhir,V Sehwag,V Kohli,RG Sharma,SK Raina,MS Dhoni (c) †,IK Pathan,R Ashwin,Z Khan,PP Ojha,UT Yadav,WU Tharanga,TM Dilshan,LD Chandimal,KC Sangakkara † ,DPMD Jayawardene (c) ,AD Mathews ,HDRL Thirimanne ,NLTC Perera ,HMRKB Herath ,I Udana ,SL Malinga,MS Dhoni  †,DPMD Jayawardene  ,India,India
769,India,Sri Lanka,Sri Lanka,161 runs,Kingston,"Jul 2, 2013",ODI # 3382,https://www.espncricinfo.com/Sri-Lanka/engine/match/597925.html,WU Tharanga,DPMD Jayawardene,AD Mathews (c),MDKJ Perera ,KC Sangakkara † ,LD Chandimal ,HDRL Thirimanne ,KMDN Kulasekara ,SMSM Senanayake ,HMRKB Herath ,SL Malinga,RG Sharma,S Dhawan,M Vijay,V Kohli (c),KD Karthik †,SK Raina,RA Jadeja,R Ashwin,Mohammed Shami,I Sharma,UT Yadav,AD Mathews ,V Kohli ,India,Sri Lanka
782,India,Sri Lanka,Sri Lanka,2 wickets,Fatullah,"Feb 28, 2014",ODI # 3476,https://www.espncricinfo.com/Sri-Lanka/engine/match/710297.html,RG Sharma,S Dhawan,V Kohli (c),AM Rahane,AT Rayudu,KD Karthik †,RA Jadeja,STR Binny,R Ashwin,B Kumar,Mohammed Shami,MDKJ Perera,HDRL Thirimanne,KC Sangakkara †,DPMD Jayawardene,LD Chandimal,AD Mathews (c),SMSM Senanayake,PC de Silva,NLTC Perera,BAW Mendis,SL Malinga,V Kohli ,AD Mathews ,Sri Lanka,India
817,India,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 8, 2017",ODI # 3882,https://www.espncricinfo.com/Sri-Lanka/engine/match/1022361.html,RG Sharma,S Dhawan,V Kohli (c),Yuvraj Singh,MS Dhoni †,HH Pandya,KM Jadhav,RA Jadeja,B Kumar ,UT Yadav ,JJ Bumrah,N Dickwella †,MD Gunathilaka,BKG Mendis,MDKJ Perera,AD Mathews (c),DAS Gunaratne,LD Chandimal ,NLTC Perera ,RAS Lakmal ,SL Malinga ,N Pradeep,V Kohli ,AD Mathews ,Sri Lanka,India
820,India,Sri Lanka,Sri Lanka,7 wickets,Dharamsala,"Dec 10, 2017",ODI # 3939,https://www.espncricinfo.com/Sri-Lanka/engine/match/1122726.html,RG Sharma (c),S Dhawan,SS Iyer,KD Karthik,MK Pandey,MS Dhoni †,HH Pandya,B Kumar,Kuldeep Yadav,JJ Bumrah,YS Chahal,MD Gunathilaka,WU Tharanga,HDRL Thirimanne,AD Mathews,N Dickwella †,DAS Gunaratne ,NLTC Perera (c) ,SS Pathirana ,RAS Lakmal ,A Dananjaya ,N Pradeep,RG Sharma ,NLTC Perera  ,Sri Lanka,India
849,Bangladesh,India,Bangladesh,5 wickets,Dhaka,"Mar 16, 2012",ODI # 3261,https://www.espncricinfo.com/Bangladesh/engine/match/535797.html,G Gambhir,SR Tendulkar,V Kohli,SK Raina,MS Dhoni (c) †,RG Sharma,RA Jadeja,IK Pathan ,R Ashwin ,P Kumar ,AB Dinda,Tamim Iqbal,Nazimuddin,Jahurul Islam,Nasir Hossain,Shakib Al Hasan,Mushfiqur Rahim (c) †,Mahmudullah,Mashrafe Mortaza ,Abdur Razzak ,Shafiul Islam ,Shahadat Hossain,MS Dhoni  †,Mushfiqur Rahim  †,Bangladesh,India
870,Bangladesh,India,Bangladesh,79 runs,Dhaka,"Jun 18, 2015",ODI # 3658,https://www.espncricinfo.com/Bangladesh/engine/match/870731.html,Tamim Iqbal,Soumya Sarkar,Liton Das,Mushfiqur Rahim †,Shakib Al Hasan,Sabbir Rahman,Nasir Hossain,Mashrafe Mortaza (c),Rubel Hossain,Taskin Ahmed,Mustafizur Rahman,RG Sharma,S Dhawan,V Kohli,AM Rahane,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,MM Sharma,UT Yadav,Mashrafe Mortaza ,MS Dhoni  †,Bangladesh,Bangladesh
871,Bangladesh,India,Bangladesh,6 wickets,Dhaka,"Jun 21, 2015",ODI # 3660,https://www.espncricinfo.com/Bangladesh/engine/match/870733.html,RG Sharma,S Dhawan,V Kohli,MS Dhoni (c) †,AT Rayudu,SK Raina,RA Jadeja,AR Patel,R Ashwin,B Kumar,DS Kulkarni,Tamim Iqbal,Soumya Sarkar,Liton Das †,Mushfiqur Rahim,Shakib Al Hasan,Sabbir Rahman,Nasir Hossain ,Mashrafe Mortaza (c) ,Rubel Hossain ,Taskin Ahmed ,Mustafizur Rahman,MS Dhoni  †,Mashrafe Mortaza  ,India,India
915,West Indies,India,West Indies,103 runs,North Sound,"Jun 13, 2011",ODI # 3162,https://www.espncricinfo.com/West-Indies/engine/match/489224.html,LMP Simmons,DP Hyatt,RR Sarwan,DM Bravo,MN Samuels,KA Pollard,CS Baugh †,AD Russell,DJG Sammy (c),KAJ Roach,A Martin,PA Patel †,MK Tiwary,V Kohli,S Badrinath,RG Sharma,SK Raina (c),YK Pathan,R Ashwin,P Kumar,A Mishra,I Sharma,DJG Sammy ,SK Raina ,India,West Indies
916,West Indies,India,West Indies,7 wickets,Kingston,"Jun 16, 2011",ODI # 3163,https://www.espncricinfo.com/West-Indies/engine/match/489225.html,S Dhawan,PA Patel †,V Kohli,MK Tiwary,RG Sharma,SK Raina (c),YK Pathan,R Ashwin,A Mishra,R Vinay Kumar,I Sharma,LMP Simmons,AB Barath,RR Sarwan,DM Bravo,MN Samuels,KA Pollard,CS Baugh † ,DJG Sammy (c) ,AD Russell ,KAJ Roach ,A Martin,SK Raina ,DJG Sammy  ,West Indies,India
919,India,West Indies,West Indies,16 runs,Ahmedabad,"Dec 5, 2011",ODI # 3221,https://www.espncricinfo.com/West-Indies/engine/match/536931.html,LMP Simmons,DP Hyatt,MN Samuels,DM Bravo,D Ramdin †,KA Pollard,AD Russell,DJG Sammy (c),KAJ Roach ,R Rampaul ,SP Narine,PA Patel †,V Sehwag (c),G Gambhir,V Kohli,RG Sharma,SK Raina,RA Jadeja,R Ashwin,R Vinay Kumar,A Mithun,UT Yadav,DJG Sammy ,V Sehwag ,India,West Indies
933,West Indies,India,West Indies,1 wicket,Kingston,"Jun 30, 2013",ODI # 3380,https://www.espncricinfo.com/West-Indies/engine/match/597924.html,RG Sharma,S Dhawan,V Kohli,KD Karthik,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,I Sharma ,UT Yadav,CH Gayle,J Charles,DS Smith,MN Samuels,DM Bravo,KA Pollard (c),D Ramdin †,DJG Sammy,KAJ Roach,SP Narine,TL Best,MS Dhoni  †,KA Pollard ,West Indies,India
935,India,West Indies,West Indies,2 wickets,Visakhapatnam,"Nov 24, 2013",ODI # 3437,https://www.espncricinfo.com/West-Indies/engine/match/676531.html,RG Sharma,S Dhawan,V Kohli,Yuvraj Singh,SK Raina,MS Dhoni (c) †,RA Jadeja,R Ashwin,B Kumar,Mohammed Shami ,MM Sharma,J Charles †,KOA Powell,MN Samuels,DM Bravo,LMP Simmons,DJ Bravo (c),DJG Sammy,JO Holder,SP Narine,V Permaul,R Rampaul,MS Dhoni  †,DJ Bravo ,West Indies,India
943,India,West Indies,West Indies,124 runs,Kochi,"Oct 8, 2014",ODI # 3531,https://www.espncricinfo.com/West-Indies/engine/match/770121.html,DR Smith,DJ Bravo (c),DM Bravo,MN Samuels,D Ramdin †,KA Pollard,AD Russell,DJG Sammy,SJ Benn ,R Rampaul ,JE Taylor,AM Rahane,S Dhawan,V Kohli,AT Rayudu,SK Raina,MS Dhoni (c) †,RA Jadeja,B Kumar,A Mishra,MM Sharma,Mohammed Shami,DJ Bravo ,MS Dhoni  †,India,West Indies
954,West Indies,India,West Indies,11 runs,North Sound,"Jul 2, 2017",ODI # 3900,https://www.espncricinfo.com/West-Indies/engine/match/1098209.html,E Lewis,KA Hope,SD Hope †,RL Chase,JN Mohammed,JO Holder (c),R Powell,AR Nurse,D Bishoo,AS Joseph,KOK Williams,AM Rahane,S Dhawan,V Kohli (c),KD Karthik,MS Dhoni †,KM Jadhav,HH Pandya,RA Jadeja,Kuldeep Yadav,UT Yadav,Mohammed Shami,JO Holder ,V Kohli ,West Indies,West Indies
961,India,West Indies,West Indies,43 runs,Pune,"Oct 27, 2018",ODI # 4062,https://www.espncricinfo.com/West-Indies/engine/match/1157756.html,KOA Powell,C Hemraj,SD Hope †,MN Samuels,SO Hetmyer,R Powell,JO Holder (c),FA Allen,AR Nurse,KAJ Roach,OC McCoy,RG Sharma,S Dhawan,V Kohli (c),AT Rayudu,RR Pant,MS Dhoni †,B Kumar,Kuldeep Yadav,YS Chahal,KK Ahmed,JJ Bumrah,JO Holder ,V Kohli ,India,West Indies
972,India,West Indies,West Indies,8 wickets,Chennai,"Dec 15, 2019",ODI # 4221,https://www.espncricinfo.com/West-Indies/engine/match/1187021.html,RG Sharma,KL Rahul,V Kohli (c),SS Iyer,RR Pant †,KM Jadhav,RA Jadeja,S Dube,DL Chahar,Mohammed Shami,Kuldeep Yadav,SD Hope †,SW Ambris,SO Hetmyer,N Pooran,RL Chase ,KA Pollard (c) ,JO Holder ,KMA Paul ,HR Walsh ,AS Joseph ,SS Cottrell,V Kohli ,KA Pollard  ,West Indies,India
974,Zimbabwe,India,Zimbabwe,6 wickets,Bulawayo,"May 28, 2010",ODI # 2981,https://www.espncricinfo.com/Zimbabwe/engine/match/452146.html,KD Karthik †,M Vijay,V Kohli,RG Sharma,SK Raina (c),RA Jadeja,YK Pathan,A Mishra ,AB Dinda ,R Vinay Kumar ,UT Yadav,H Masakadza,BRM Taylor †,GA Lamb,CR Ervine,CK Coventry,E Chigumbura (c),AM Blignaut ,AG Cremer ,P Utseya ,RW Price ,CB Mpofu,SK Raina ,E Chigumbura ,India,India
975,Zimbabwe,India,Zimbabwe,7 wickets,Harare,"Jun 3, 2010",ODI # 2986,https://www.espncricinfo.com/Zimbabwe/engine/match/452149.html,KD Karthik †,M Vijay,V Kohli,RG Sharma,SK Raina (c),RA Jadeja,YK Pathan,A Mishra,AB Dinda,PP Ojha,UT Yadav,H Masakadza,BRM Taylor,CK Coventry,E Chigumbura (c),T Taibu †,GA Lamb ,CR Ervine ,AM Blignaut ,AG Cremer ,P Utseya ,RW Price,SK Raina ,E Chigumbura ,Zimbabwe,India
